country;state;totalCases;totalCasesMS;notConfirmedByMS;deaths;deathsMS;deaths_per_100k_inhabitants;totalCases_per_100k_inhabitants;deaths_by_totalCases;recovered;suspects;tests;tests_per_100k_inhabitants;vaccinated;vaccinated_per_100_inhabitants;vaccinated_second;vaccinated_second_per_100_inhabitants;vaccinated_single;vaccinated_single_per_100_inhabitants;vaccinated_third;vaccinated_third_per_100_inhabitants;date
Brazil;AC;160452;160452;0;2043;2043;23164972;1819317750;1273;119470;48179;318928;3616230221;694558;7875388;607656;6890032;13768;156111;388810;4408602;18/03/2023
Brazil;AL;337568;337568;0;7242;7242;21699806;1011483039;2145;286515;871;789028;2364230138;2617483;7842982;2271143;6805214;58151;174243;1453763;4356031;18/03/2023
Brazil;AM;631976;631976;0;14443;14443;34847779;1524818939;2285;559537;3123;1166605;2814761001;3334891;8046358;2856226;6891444;84223;203212;1954567;4715940;18/03/2023
Brazil;AP;185673;185673;0;2167;2167;25622804;2195414381;1167;126023;42;227745;2692877523;620522;7337108;531674;6286562;17200;203374;320247;3786630;18/03/2023
Brazil;BA;1792572;1792572;0;31459;31459;21151660;1205247285;1755;1484295;358935;2689354;1808204416;11681006;7853799;10568359;7105704;284439;191244;8038266;5404580;18/03/2023
Brazil;CE;1453417;1453417;0;28157;28157;30833070;1591551233;1937;1110838;16642;3702346;4054220737;8672260;9496480;7837839;8582755;284590;311638;5613927;6147480;18/03/2023
Brazil;DF;898072;898072;0;11845;11845;39283407;2978415186;1319;672192;663;782118;2593858987;2801934;9292487;2426080;8045985;350014;1160806;1859780;6167876;18/03/2023
Brazil;ES;1323595;1323595;0;15041;15041;37427992;3293630946;1136;961369;386456;2396293;5962930337;3483313;8667869;3131520;7792468;126919;315825;2257968;5618723;18/03/2023
Brazil;GO;1900459;1900459;0;28041;28041;39953813;2707841468;1475;1176485;867571;1619728;2307845971;5952606;8481484;5420118;7722777;166233;236855;3940789;5614976;18/03/2023
Brazil;MA;493418;493418;0;11053;11053;15622215;697392759;2240;402551;548;1023271;1446282434;5746153;8121563;4676875;6610255;129264;182701;2366308;3344519;18/03/2023
Brazil;MG;4189760;4189760;0;65507;65507;30945083;1979215535;1564;3112513;6540804;6625144;3129675190;18383469;8684232;17820352;8418219;526376;248657;15270991;7213917;18/03/2023
Brazil;MS;607776;607776;0;11016;11016;39640358;2187042324;1813;496655;233;1387627;4993285321;2262254;8140574;1964502;7069132;258398;929828;1363828;4907646;18/03/2023
Brazil;MT;879415;879415;0;15090;15090;43306492;2523815701;1716;715724;84318;557142;1598930797;2859950;8207714;2568180;7370369;104353;299481;1515260;4348615;18/03/2023
Brazil;PA;872068;872068;0;19025;19025;22114726;1013694856;2182;693000;5;999004;1161245701;6869551;7985190;6490998;7545159;149009;173209;2492989;2897859;18/03/2023
Brazil;PB;707854;707854;0;10542;10542;26236105;1761651635;1489;429753;432554;1152470;2868177138;3552667;8841600;3312766;8244553;87270;217191;2317672;5768041;18/03/2023
Brazil;PE;1157160;1157160;0;22687;22687;23738445;1210789373;1961;699477;2386;3390139;3547257313;8606109;9004965;7907862;8274357;201914;211272;5530086;5786382;18/03/2023
Brazil;PI;424866;424866;0;8354;8354;25522214;1298003469;1966;358596;566;673401;2057300028;3163444;9664603;2838164;8670844;56560;172796;2477991;7570483;18/03/2023
Brazil;PR;2920177;2920177;0;46022;46022;40250283;2553951357;1576;1938499;3348;5199895;4547765048;10295094;9003964;9976176;8725042;340093;297441;8434427;7376647;18/03/2023
Brazil;RJ;2754359;2754359;0;76852;76852;44513324;1595347868;2790;1948731;52017;2313502;1339999790;14716972;8524194;13809945;7998836;404665;234385;12211486;7072995;18/03/2023
Brazil;RN;585935;585935;0;8715;8715;24851341;1670828518;1487;379975;219319;1066514;3041228132;2979308;8495674;2772139;7904919;69006;196775;2030138;5789059;18/03/2023
Brazil;RO;482910;482910;0;7432;7432;41818003;2717213634;1539;358683;394865;1110979;6251200608;1328876;7477252;1186864;6678186;38090;214323;697735;3925980;18/03/2023
Brazil;RR;182505;182505;0;2180;2180;35987791;3012821889;1194;151889;5095;403774;6665566123;473511;7816796;369284;6096200;14652;241878;175984;2905172;18/03/2023
Brazil;RS;2962414;2962414;0;41921;41921;36846374;2603807479;1415;2146461;10647;7749875;6811736134;9877242;8681581;9431834;8290090;331099;291019;8439439;7417827;18/03/2023
Brazil;SC;1986447;1986447;0;22703;22703;31686911;2772513297;1143;1607144;205;2568392;3584742493;6308275;8804552;5862014;8181699;277356;387110;4166331;5815009;18/03/2023
Brazil;SE;359692;359692;0;6502;6502;28285602;1564765415;1808;313577;445;604183;2628372782;2023048;8800851;1860868;8095320;43065;187345;1376006;5986029;18/03/2023
Brazil;SP;6469442;6469442;0;179039;179039;38990137;1408879788;2767;4850000;876238;19501783;4246991918;43381275;9447337;40857206;8897659;1286285;280120;29057424;6327967;18/03/2023
Brazil;TO;365538;365538;0;4232;4232;26906297;2324025060;1158;281464;359;903975;5747310960;1183632;7525320;1029319;6544226;56219;357430;595805;3788021;18/03/2023
